,ID,Case Number,Date,Block,Primary Type,Description,Location Description,Arrest,Domestic,District,Community Area,Year
70162,12672147,JF209675,02/01/2022 12:00:00 AM,009XX N RIDGEWAY AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,11,Humboldt Park,2022
70218,12789562,JF351428,08/10/2022 12:00:00 AM,044XX S DREXEL BLVD,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,2,Kenwood,2022
70223,12743858,JF296637,06/27/2022 07:55:00 PM,039XX W 63RD PL,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,True,8,West Lawn,2022
70224,12656006,JF190212,03/17/2022 05:28:00 AM,054XX N NATCHEZ AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,16,Norwood Park,2022
70253,12708681,JF254069,04/01/2022 02:00:00 PM,005XX E 41ST ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,2,Grand Boulevard,2022
70272,12799280,JF362907,08/19/2022 05:33:00 PM,039XX S VINCENNES AVE,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,APARTMENT,False,True,2,Grand Boulevard,2022
70307,12813088,JF379309,09/01/2022 04:15:00 PM,025XX W 46TH PL,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,9,Brighton Park,2022
70344,12764165,JF321386,07/18/2022 02:00:00 AM,016XX E 50TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,2,Kenwood,2022
70417,12701565,JF244767,05/16/2022 12:00:00 AM,048XX N OAKLEY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,True,True,20,Lincoln Square,2022
70437,12789100,JF350949,08/09/2022 08:37:00 PM,033XX W 16TH ST,OTHER OFFENSE,LICENSE VIOLATION,ALLEY,True,False,10,North Lawndale,2022
70448,12760972,JF317537,06/20/2022 12:00:00 PM,014XX W JARVIS AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,24,Rogers Park,2022
70482,12790800,JF339249,07/31/2022 09:07:00 PM,014XX W RANDOLPH ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,SIDEWALK,False,True,12,Near West Side,2022
70485,12650755,JF184178,03/23/2022 03:00:00 AM,003XX S ST LOUIS AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,11,East Garfield Park,2022
70490,12640111,JF171324,03/12/2022 10:00:00 AM,047XX N ARTESIAN AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,19,Lincoln Square,2022
70491,12754289,JF309251,07/06/2022 04:40:00 PM,043XX W 26TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESTAURANT,False,False,10,South Lawndale,2022
70553,12673224,JF210924,04/17/2022 06:33:00 PM,078XX S DREXEL AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,6,Greater Grand Crossing,2022
70561,12743056,JF295704,06/25/2022 10:30:00 AM,091XX S SOUTH CHICAGO AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,4,South Chicago,2022
70609,12774386,JF333429,07/25/2022 02:40:00 PM,005XX N MICHIGAN AVE,OTHER OFFENSE,TELEPHONE THREAT,HOTEL / MOTEL,False,False,18,Near North Side,2022
70613,12829052,JF398286,07/03/2022 12:00:00 PM,061XX S THROOP ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,True,7,West Englewood,2022
70624,12759835,JF316125,07/08/2022 05:00:00 AM,057XX S ALBANY AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE - GARAGE,False,False,8,Gage Park,2022
70654,12729363,JF279052,06/13/2022 07:45:00 PM,055XX S SEELEY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,7,West Englewood,2022
70659,12681897,JF221276,04/26/2022 09:36:00 PM,011XX N CICERO AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,15,Austin,2022
70660,12739585,JF291471,06/23/2022 06:51:00 PM,083XX S KINGSTON AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,4,South Chicago,2022
70673,12770481,JF328975,07/23/2022 08:28:00 PM,035XX W NORTH AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,14,Humboldt Park,2022
70688,12656556,JF190748,01/29/2022 08:00:00 AM,086XX S JEFFERY BLVD,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER (SPECIFY),False,False,4,Avalon Park,2022
70706,12683995,JF223749,04/29/2022 01:04:00 AM,018XX E 71ST ST,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,STREET,False,False,3,South Shore,2022
70726,12682304,JF221830,04/16/2022 08:00:00 PM,068XX S RIDGELAND AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,False,False,3,South Shore,2022
70737,12757225,JF312863,07/11/2022 12:30:00 AM,067XX S CAMPBELL AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,8,Chicago Lawn,2022
70750,12733113,JF283657,06/12/2022 06:00:00 AM,043XX S ROCKWELL ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,9,Brighton Park,2022
70783,12772318,JF331274,07/25/2022 05:15:00 PM,133XX S MICHIGAN AVE,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),False,False,5,Riverdale,2022
70796,12659498,JF193957,04/01/2022 04:15:00 PM,001XX W DIVISION ST,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,18,Near North Side,2022
70798,12695764,JF238413,05/07/2022 11:58:00 AM,002XX W 108TH ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,5,Roseland,2022
70799,12764681,JF322015,07/17/2022 08:00:00 AM,064XX S INGLESIDE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,3,Woodlawn,2022
70803,12810463,JF376259,08/28/2022 03:00:00 PM,014XX W ROSEMONT AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,24,Edgewater,2022
70811,12817893,JF384863,09/02/2022 11:00:00 AM,040XX W ADAMS ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,11,West Garfield Park,2022
70833,12822542,JF390368,09/04/2022 09:00:00 PM,015XX N PARKSIDE AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,25,Austin,2022
70835,12754865,JF310076,02/13/2022 10:29:00 PM,002XX E HURON ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,HOSPITAL BUILDING / GROUNDS,False,False,18,Near North Side,2022
70853,12737312,JF288748,06/21/2022 12:10:00 PM,115XX S LAFAYETTE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,5,West Pullman,2022
70897,12673057,JF210660,04/17/2022 12:16:00 PM,074XX N SEELEY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,24,Rogers Park,2022
70906,12731828,JF282012,06/16/2022 01:00:00 PM,072XX S LOWE AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,7,Englewood,2022
70908,12669358,JF206348,04/13/2022 07:05:00 AM,125XX S HARVARD AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,STREET,False,True,5,West Pullman,2022
70912,12649739,JF182960,03/21/2022 09:22:00 PM,059XX S DR MARTIN LUTHER KING JR DR,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,APARTMENT,False,False,2,Washington Park,2022
70929,12812242,JF378193,08/31/2022 09:15:00 PM,039XX N PULASKI RD,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,17,Irving Park,2022
70932,12653288,JF186927,03/26/2022 05:00:00 AM,033XX W CARROLL AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,11,East Garfield Park,2022
70952,12724778,JF273532,06/08/2022 10:00:00 AM,100XX S HOXIE AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,4,South Deering,2022
70968,12781583,JF342073,08/02/2022 06:42:00 PM,034XX S HAMLIN AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,10,South Lawndale,2022
70981,12718484,JF265839,06/03/2022 05:54:00 AM,062XX S JUSTINE ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,7,West Englewood,2022
70983,12684987,JF225026,04/30/2022 02:20:00 AM,085XX S COMMERCIAL AVE,OTHER OFFENSE,LICENSE VIOLATION,ABANDONED BUILDING,True,False,4,South Chicago,2022
71000,12648178,JF180978,03/21/2022 03:19:00 AM,048XX W ROSCOE ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,16,Portage Park,2022
71015,12742241,JF294722,06/25/2022 08:00:00 PM,012XX S HOMAN AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,10,North Lawndale,2022
71019,12656666,JF190590,03/29/2022 02:39:00 PM,039XX W MONROE ST,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,ALLEY,False,False,11,West Garfield Park,2022
71022,12695049,JF237519,05/10/2022 09:50:00 PM,022XX E 70TH PL,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,3,South Shore,2022
71029,12796995,JF360217,08/17/2022 02:00:00 PM,0000X S AUSTIN BLVD,OTHER OFFENSE,TELEPHONE THREAT,STREET,False,True,15,Austin,2022
71072,12713963,JF260452,05/29/2022 09:30:00 PM,043XX N KIMBALL AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,17,Irving Park,2022
71092,12643403,JF175145,03/11/2022 09:08:00 PM,006XX S WESTERN AVE,OTHER OFFENSE,LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE,False,False,11,Near West Side,2022
71093,12787409,JF348837,08/06/2022 08:00:00 PM,072XX S PERRY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,7,Greater Grand Crossing,2022
71098,12783041,JF343639,08/04/2022 06:30:00 AM,001XX N CENTRAL AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,15,Austin,2022
71102,12663886,JF199736,04/06/2022 08:48:00 PM,030XX W NORTH AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,14,Humboldt Park,2022
71104,12699877,JF243576,05/15/2022 06:38:00 PM,050XX W VAN BUREN ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,ALLEY,False,False,15,Austin,2022
71108,12816363,JF383118,09/04/2022 04:00:00 PM,012XX S STATE ST,OTHER OFFENSE,TELEPHONE THREAT,OTHER (SPECIFY),False,False,1,Near South Side,2022
71118,12833656,JF403938,09/20/2022 01:00:00 PM,083XX S OGLESBY AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,4,South Chicago,2022
71130,12633851,JF163814,02/07/2022 12:00:00 AM,018XX N KARLOV AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,25,Hermosa,2022
71150,12684345,JF224217,04/29/2022 01:00:00 PM,031XX W ARGYLE ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),False,False,17,Albany Park,2022
71162,12763737,JF320776,07/16/2022 10:05:00 AM,060XX S INDIANA AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,PARK PROPERTY,False,True,3,Washington Park,2022
71170,12753859,JF308419,07/07/2022 07:00:00 AM,0000X S STATE ST,OTHER OFFENSE,TELEPHONE THREAT,SMALL RETAIL STORE,False,False,1,Loop,2022
71181,12780172,JF340602,07/31/2022 12:30:00 AM,001XX W WACKER DR,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,SIDEWALK,False,False,1,Loop,2022
71189,12667558,JF204219,04/08/2022 07:00:00 PM,078XX S CORNELL AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,4,South Shore,2022
71192,12767792,JF324581,07/20/2022 11:07:00 AM,037XX N KENNETH AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,17,Irving Park,2022
71202,12660584,JF195727,04/03/2022 07:00:00 AM,096XX S AVENUE L,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,True,4,East Side,2022
71212,12700235,JF243858,05/15/2022 09:00:00 PM,007XX W NORTH AVE,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,ANIMAL HOSPITAL,False,False,18,Near North Side,2022
71246,12650052,JF182776,03/22/2022 03:00:00 PM,013XX W 14TH ST,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,SCHOOL - PUBLIC GROUNDS,False,False,12,Near West Side,2022
71261,12719270,JF266930,06/03/2022 08:15:00 PM,062XX S MASSASOIT AVE,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,VEHICLE NON-COMMERCIAL,False,False,8,Clearing,2022
71263,12770154,JF328586,07/22/2022 01:00:00 PM,016XX W MORSE AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,24,Rogers Park,2022
71273,12677035,JF215471,04/21/2022 10:41:00 PM,025XX N LINDER AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,25,Belmont Cragin,2022
71275,12779997,JF340378,07/28/2022 12:00:00 PM,002XX S RACINE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,12,Near West Side,2022
71279,12704247,JF258773,05/20/2022 12:58:00 AM,115XX S LA SALLE ST,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,5,West Pullman,2022
71289,12804381,JF369100,08/24/2022 05:00:00 AM,059XX S ARCHER AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,8,Garfield Ridge,2022
71294,12749986,JF304122,07/03/2022 04:00:00 PM,022XX N CLEVELAND AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,18,Lincoln Park,2022
71298,12773921,JF332943,07/24/2022 06:00:00 AM,012XX W 82ND ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,6,Auburn Gresham,2022
71300,12725092,JF273533,06/09/2022 04:10:00 PM,092XX S STONY ISLAND AVE,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,False,False,4,Calumet Heights,2022
71321,12659152,JF193908,04/01/2022 04:00:00 PM,084XX S HERMITAGE AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,VACANT LOT / LAND,False,False,6,Auburn Gresham,2022
71338,12683857,JF223498,04/24/2022 02:51:00 AM,006XX E 45TH ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,2,Grand Boulevard,2022
71341,12647850,JF180616,01/15/2022 12:00:00 PM,033XX W POLK ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,11,East Garfield Park,2022
71347,12770125,JF328254,07/21/2022 09:00:00 AM,119XX S STEWART AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,5,West Pullman,2022
71396,12739851,JF291708,06/23/2022 11:02:00 PM,024XX W NORTH AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,True,False,14,West Town,2022
71415,12661166,JF196441,04/04/2022 05:34:00 AM,002XX E 41ST ST,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,2,Grand Boulevard,2022
71423,12814763,JF381250,09/03/2022 07:23:00 AM,041XX W WASHINGTON BLVD,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,11,West Garfield Park,2022
71450,12656491,JF190829,03/25/2022 11:56:00 PM,041XX S WESTERN AVE,OTHER OFFENSE,LICENSE VIOLATION,COMMERCIAL / BUSINESS OFFICE,True,False,9,Brighton Park,2022
71452,12664686,JF200831,04/06/2022 04:54:00 PM,003XX S STATE ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SCHOOL - PUBLIC GROUNDS,False,False,1,Loop,2022
71458,12750693,JF304940,07/04/2022 11:37:00 AM,064XX S MARSHFIELD AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,7,West Englewood,2022
71520,12632278,JF161891,03/01/2022 12:00:00 AM,107XX S CHURCH ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,22,Morgan Park,2022
71522,12702774,JF247193,05/18/2022 04:09:00 PM,016XX S KARLOV AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,10,North Lawndale,2022
71526,12717822,JF265212,06/02/2022 04:07:00 PM,077XX S EXCHANGE AVE,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,SIDEWALK,True,False,4,South Shore,2022
71585,12661158,JF196400,04/04/2022 01:40:00 AM,020XX N CALIFORNIA AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,14,Logan Square,2022
71610,12723446,JF270946,06/07/2022 01:50:00 PM,043XX N MILWAUKEE AVE,OTHER OFFENSE,LICENSE VIOLATION,STREET,False,False,16,Portage Park,2022
71617,12775046,JF334299,07/28/2022 12:28:00 AM,058XX W FULLERTON AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,25,Belmont Cragin,2022
71624,12719835,JF267569,06/04/2022 01:58:00 PM,001XX E 115TH ST,OTHER OFFENSE,GUN OFFENDER - DUTY TO REGISTER,STREET,True,False,5,Roseland,2022
71642,12707777,JF253102,05/23/2022 07:17:00 PM,082XX S DREXEL AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,6,Chatham,2022
71643,12776084,JF335589,07/29/2022 01:33:00 AM,012XX N AVERS AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,25,Humboldt Park,2022
71646,12755333,JF310334,07/03/2022 12:00:00 PM,124XX S STEWART AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,RESIDENCE,False,True,5,West Pullman,2022
71649,12637455,JF168144,03/09/2022 11:45:00 AM,014XX N KEATING AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,25,Austin,2022
71650,12723388,JF271862,06/07/2022 10:00:00 AM,033XX W NORTH AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,14,Humboldt Park,2022
71661,12639913,JF171078,03/12/2022 02:15:00 AM,034XX W 13TH PL,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,10,North Lawndale,2022
71672,12728636,JF278238,06/13/2022 02:00:00 PM,021XX S MARSHALL BLVD,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,10,South Lawndale,2022
71678,12652096,JF185546,03/24/2022 08:14:00 PM,089XX S HOUSTON AVE,OTHER OFFENSE,VIOLENT OFFENDER - ANNUAL REGISTRATION,STREET,True,False,4,South Chicago,2022
71687,12832025,JF402005,09/13/2022 06:44:00 PM,009XX W HURON ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,True,12,West Town,2022
71694,12683630,JF223367,04/28/2022 04:00:00 PM,015XX S CENTRAL PARK AVE,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,STREET,False,False,10,North Lawndale,2022
71725,12782508,JF343213,06/06/2022 07:00:00 PM,104XX S AVENUE H,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,True,4,East Side,2022
71727,12659917,JF194972,04/02/2022 02:31:00 PM,081XX S ANTHONY AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,False,4,Avalon Park,2022
71734,12830447,JF400182,09/17/2022 07:04:00 PM,069XX S HALSTED ST,OTHER OFFENSE,OTHER WEAPONS VIOLATION,SIDEWALK,True,False,7,Englewood,2022
71742,12755389,JF310623,07/09/2022 12:08:00 AM,070XX S CARPENTER ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,True,True,7,Englewood,2022
71761,12700313,JF243975,05/15/2022 04:43:00 PM,039XX W 63RD PL,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,8,West Lawn,2022
71768,12670457,JF207545,04/13/2022 09:00:00 PM,002XX W 94TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,6,Roseland,2022
71770,12786408,JF347635,08/07/2022 11:05:00 AM,013XX N HUDSON AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,18,Near North Side,2022
71786,12674835,JF212979,04/19/2022 05:55:00 PM,039XX N OLEANDER AVE,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,False,False,16,Dunning,2022
71845,12715576,JF262406,05/28/2022 10:36:00 PM,052XX S FRANCISCO AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,9,Gage Park,2022
71846,12668963,JF205981,04/12/2022 04:30:00 PM,049XX W ADAMS ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,15,Austin,2022
71852,12657773,JF170340,03/11/2022 12:05:00 PM,001XX E 71ST ST,OTHER OFFENSE,LICENSE VIOLATION,GAS STATION,True,False,3,Greater Grand Crossing,2022
71863,12678355,JF217041,04/23/2022 10:40:00 AM,015XX W LAWRENCE AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,19,Uptown,2022
71869,12707903,JF253145,05/23/2022 06:57:00 PM,052XX N POTAWATOMIE AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,True,16,O'Hare,2022
71877,12764776,JF322212,07/18/2022 02:00:00 PM,043XX S MICHIGAN AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,2,Grand Boulevard,2022
71881,12737425,JF289004,06/19/2022 12:00:00 AM,073XX S YATES BLVD,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,3,South Shore,2022
71891,12806766,JF371651,08/26/2022 05:00:00 PM,072XX S HONORE ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,7,West Englewood,2022
71955,12662979,JF198602,04/04/2022 03:15:00 PM,058XX N LINCOLN AVE,OTHER OFFENSE,TELEPHONE THREAT,SCHOOL - PUBLIC GROUNDS,False,False,20,West Ridge,2022
71958,12649259,JF182220,03/22/2022 06:00:00 AM,015XX N KOLIN AVE,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,False,False,25,Humboldt Park,2022
71964,12638085,JF168795,03/08/2022 12:00:00 AM,048XX S LAWLER AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,8,Garfield Ridge,2022
71967,12632794,JF162494,03/03/2022 09:43:00 PM,015XX W MORSE AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,24,Rogers Park,2022
71993,12705580,JF249224,05/17/2022 02:00:00 PM,038XX W 111TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,SCHOOL - PUBLIC BUILDING,False,False,22,Mount Greenwood,2022
71994,12784984,JF346020,08/05/2022 06:55:00 PM,045XX N CLARENDON AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,False,19,Uptown,2022
72002,12674886,JF212782,04/18/2022 04:00:00 PM,015XX S PULASKI RD,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,COMMERCIAL / BUSINESS OFFICE,False,False,10,North Lawndale,2022
72016,12785696,JF346865,08/06/2022 03:00:00 PM,024XX W ARTHINGTON ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,False,False,11,Near West Side,2022
72057,12790306,JF352355,08/11/2022 03:14:00 AM,048XX S LOOMIS BLVD,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,True,9,New City,2022
72067,12802615,JF366866,08/23/2022 04:30:00 AM,023XX S DRAKE AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,ALLEY,False,True,10,South Lawndale,2022
72083,12668572,JF205423,04/12/2022 10:32:00 AM,024XX N CALIFORNIA AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,True,False,14,Logan Square,2022
72098,12802158,JF366528,07/29/2022 10:01:00 PM,061XX W 63RD ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,8,Clearing,2022
72125,12773125,JF332044,07/26/2022 11:05:00 AM,003XX E ILLINOIS ST,OTHER OFFENSE,TELEPHONE THREAT,MOVIE HOUSE / THEATER,False,False,18,Near North Side,2022
72132,12677286,JF215793,03/19/2022 06:18:00 AM,050XX S LOOMIS BLVD,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,9,New City,2022
72150,12794930,JF357831,08/15/2022 03:56:00 PM,052XX W WINONA ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,False,False,16,Jefferson Park,2022
72165,12637340,JF166944,03/08/2022 09:51:00 AM,019XX S RIDGEWAY AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,10,North Lawndale,2022
72207,12656904,JF187312,03/26/2022 01:45:00 PM,040XX W 21ST PL,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,False,True,10,North Lawndale,2022
72209,12768231,JF325858,07/18/2022 10:30:00 AM,036XX W POLK ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,False,11,East Garfield Park,2022
72210,12797421,JF360686,08/16/2022 04:00:00 PM,042XX W GRENSHAW ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,11,North Lawndale,2022
72223,12782178,JF341596,07/25/2022 12:00:00 AM,036XX W DIVERSEY AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,False,True,25,Logan Square,2022
72225,12823264,JF391211,09/10/2022 09:44:00 PM,079XX S DREXEL AVE,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,6,Chatham,2022
72251,12819005,JF386064,09/06/2022 11:19:00 PM,006XX W VERMONT ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,False,True,5,West Pullman,2022
72261,12688317,JF229223,05/02/2022 12:20:00 AM,032XX W 26TH ST,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,False,True,10,South Lawndale,2022
72263,12632703,JF162319,03/03/2022 05:00:00 PM,047XX S LAKE PARK AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,False,False,2,Kenwood,2022
72264,12676252,JF213690,04/20/2022 12:50:00 PM,047XX W ADAMS ST,OTHER OFFENSE,ANIMAL ABUSE / NEGLECT,APARTMENT,False,False,11,Austin,2022
72283,12795255,JF358102,08/15/2022 08:18:00 PM,048XX S DAMEN AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,9,New City,2022
72291,12790091,JF352124,08/10/2022 08:11:00 PM,0000X E BALBO AVE,OTHER OFFENSE,OTHER WEAPONS VIOLATION,STREET,True,False,1,Loop,2022
